1-2;Estructural;Fragmentada;Viruta;Bote_Fragmentado;Escarpa;Conos_y_Tortas;ARRABIO;1-2_Importacion;Estanada;Otras_Chatarras;Cargo_Total;SalidaHornoCucharaTemp;TiempoOnTotal;TiempoOffTotal;OxigenoMecheros;GasMecheros;GrafitoTotal;OxigenCojetTotal;SecuenciaEsPrimera_num;PotenciaActiva
35.495;21.24;5.762;6.592;0.0;0.0;0.0;0.0;5.33;6.033;0.0;80.452;1580.0;1651;1588;9;0;377;2005;0;32280
93.572;30.874;26.2;0.0;0.0;0.0;0.0;0.0;0.0;4.78;0.0;155.426;1625.0;3679;1078;21;0;231;1696;1;71565
56.028;13.8;27.092;10.628;6.021;4.1;0.0;0.0;14.8;5.6;0.0;138.068;1599.0;2559;198;8;0;352;2505;0;53310
52.889;15.186;26.271;12.544;5.21;6.299;0.0;0.0;12.955;6.852;0.0;138.209;1605.0;2526;74;8;0;288;2393;0;52545
56.325;14.134;22.699;11.386;10.824;3.331;0.0;0.0;14.801;5.398;0.0;138.898;1600.0;2542;161;9;0;247;2416;0;51585
56.38;14.79;27.685;12.791;9.326;3.597;0.0;0.0;8.876;4.796;0.0;138.242;1591.0;2424;77;8;0;186;2164;0;49065
60.87;16.396;29.995;11.404;8.537;4.688;0.0;0.0;12.316;5.794;0.0;149.998;1588.0;2573;68;8;0;163;2539;0;53055
50.265;13.336;23.716;13.166;9.152;5.805;0.0;0.0;17.524;5.811;0.0;138.776;1599.0;2413;71;78;36;120;2185;0;49095
51.073;16.64;21.861;13.429;8.553;5.935;0.0;0.0;14.411;6.472;0.0;138.376;1586.0;2407;68;80;37;150;2201;0;49035
34.775;13.606;23.5;13.145;0.0;4.4;0.0;0.0;12.157;5.556;0.0;107.142;1600.0;1181;74;24;8;283;2400;0;53070
97.612;0.0;11.073;7.083;7.633;0.0;0.0;0.0;14.994;0.0;0.0;138.395;1582.0;2419;71;82;38;153;2106;0;49095
60.473;11.958;26.12;12.732;7.834;2.425;0.0;0.0;11.542;5.572;0.0;138.655;1585.0;2354;71;79;37;129;2058;0;48990
50.443;14.263;19.313;13.359;7.306;4.047;0.0;0.0;17.994;6.614;0.0;133.341;1582.0;2346;68;78;36;151;2064;0;48975
51.851;12.919;28.513;11.901;8.892;3.392;0.0;0.0;14.177;6.8;0.0;138.445;1590.0;2317;623;10;0;135;2197;0;49155
60.822;13.873;24.935;10.799;3.773;4.444;0.0;0.0;13.6;6.245;0.0;138.491;1593.0;2331;761;10;0;131;2028;0;49110
46.286;16.017;30.349;10.498;7.969;6.2;0.0;0.0;16.52;4.361;0.0;138.202;1589.0;2317;68;39;12;97;2153;0;49080
47.46;16.483;24.656;10.119;4.17;5.757;0.0;0.0;15.47;5.398;0.0;129.511;1602.0;2452;94;98;37;145;2284;0;51060
54.384;15.784;26.303;11.847;4.21;7.028;0.0;0.0;11.084;5.031;0.0;135.668;1604.0;2371;2291;101;36;221;2149;0;50085
44.666;18.516;29.783;13.041;7.46;4.78;0.0;0.0;15.418;4.547;0.0;138.211;1605.0;2346;279;97;36;192;2168;0;49560
50.717;17.405;26.873;10.629;4.611;5.876;0.0;0.0;17.95;4.259;0.0;138.322;1595.0;2377;65;97;37;132;2195;0;49470
48.611;17.036;25.098;11.877;7.6;4.807;0.0;0.0;18.549;5.333;0.0;138.912;1591.0;2281;283;93;35;189;2205;0;49605
50.036;12.305;27.247;13.143;9.07;5.849;0.0;0.0;16.239;4.644;0.0;138.532;1590.0;2284;116;92;34;160;2217;0;49560
51.767;12.343;30.383;13.724;9.5;4.02;0.0;0.0;11.784;5.122;0.0;138.643;1582.0;2433;110;7;0;167;2148;0;49500
49.853;12.527;30.92;12.016;9.108;4.362;0.0;0.0;13.806;5.681;0.0;138.273;1577.0;2334;74;7;0;101;2035;0;49560
48.116;13.699;29.878;13.634;8.406;4.259;0.0;0.0;14.589;6.668;0.0;139.247;1575.0;2267;68;6;0;129;2028;0;49620
49.378;12.408;30.404;12.662;11.03;2.338;0.0;0.0;13.471;6.852;0.0;138.544;1579.0;2343;71;6;0;100;2116;0;50115
55.949;12.213;24.403;13.709;7.432;5.23;0.0;0.0;15.012;4.785;0.0;138.733;1577.0;2348;319;11;0;106;2449;0;50130
57.895;13.526;20.237;10.299;5.956;3.141;0.0;0.0;13.52;4.069;0.0;128.643;1569.0;2165;178;6;0;50;1901;0;47070
56.579;14.112;17.998;11.693;0.0;5.371;0.0;0.0;16.693;6.424;0.0;128.869;1571.0;2132;74;6;0;131;1851;0;46560
58.872;13.889;21.119;12.61;9.468;5.182;0.0;0.0;16.905;0.0;0.0;138.046;1572.0;2306;198;7;0;173;2323;0;49050
55.123;13.808;26.2;11.898;8.379;4.33;0.0;0.0;14.085;4.818;0.0;138.64;1574.0;2303;136;7;0;99;2215;0;49035
60.253;16.614;22.228;11.836;6.479;4.867;0.0;0.0;12.261;4.308;0.0;138.844;1575.0;2261;130;7;0;110;2098;0;49065
49.159;13.699;18.068;12.495;7.72;5.475;0.0;0.0;16.371;5.892;0.0;128.879;1577.0;2337;198;7;0;127;2387;0;49050
54.611;13.857;24.502;11.173;5.575;5.773;0.0;0.0;16.099;6.484;0.0;138.071;1577.0;2346;68;7;0;158;2147;0;49050
51.868;12.381;25.911;13.307;8.036;5.371;0.0;0.0;17.133;4.531;0.0;138.537;1583.0;2312;74;7;0;135;2418;0;49035
52.767;15.778;25.531;13.633;7.295;5.187;0.0;0.0;12.413;5.746;0.0;138.351;1580.0;2295;68;8;0;179;2331;0;49050
54.378;14.449;26.517;14.131;3.713;5.339;0.0;0.0;13.192;5.268;0.0;136.986;1588.0;2326;479;9;0;139;2398;0;49050
52.687;15.228;28.206;14.53;4.644;4.48;0.0;0.0;12.451;4.63;0.0;136.857;1585.0;2303;870;9;0;178;2369;0;49005
56.869;12.81;28.372;11.235;3.403;6.093;0.0;0.0;12.076;6.121;0.0;136.977;1580.0;2365;935;9;0;170;2454;0;48900
52.842;28.43;12.26;8.93;10.203;3.158;0.0;0.0;14.27;0.0;0.0;130.091;1581.0;2317;246;8;0;116;2419;0;49020
79.886;15.0;10.026;10.668;4.372;4.22;0.0;0.0;13.012;0.0;0.0;137.184;1582.0;2329;224;7;0;153;2421;0;49050
62.978;15.43;15.796;12.369;8.423;4.0;0.0;0.0;15.486;4.2;0.0;138.681;1583.0;2348;232;9;0;175;2358;0;48570
73.763;15.58;6.581;13.69;6.164;4.0;0.0;0.0;17.672;0.0;0.0;137.451;1599.0;2357;336;7;0;157;2356;0;48555
62.609;13.379;12.506;11.636;12.24;6.5;0.0;0.0;14.308;3.874;0.0;137.057;1596.0;2571;2446;13;0;321;2324;0;52905
57.057;27.868;3.011;12.328;4.644;4.422;0.0;0.0;18.702;4.709;0.0;132.743;1588.0;2332;119;6;0;173;2315;0;48795
90.953;17.0;8.702;11.601;4.045;3.689;0.0;0.0;14.025;0.0;0.0;150.014;1599.0;2621;294;8;0;251;3269;0;54375
74.206;13.266;5.782;12.736;5.482;5.702;0.0;0.0;16.272;4.595;0.0;138.042;1588.0;2410;88;6;0;198;2665;0;49665
68.011;16.299;13.505;11.158;5.613;4.275;0.0;0.0;14.085;5.268;0.0;138.213;1585.0;2320;682;8;0;185;2686;0;48570
54.066;13.645;15.317;13.503;0.0;5.556;0.0;0.0;14.133;16.314;0.0;132.535;1585.0;2371;203;7;0;196;2504;0;48555
60.868;16.272;20.799;11.629;3.996;3.885;0.0;0.0;15.745;0.0;0.0;133.192;1584.0;2292;125;6;0;142;2526;0;48540
82.11;17.009;10.423;8.374;4.355;3.988;0.0;0.0;12.299;0.0;0.0;138.56;1588.0;2312;246;7;0;172;2839;0;48525
75.87;23.061;0.0;13.203;9.479;2.23;0.0;0.0;10.704;4.0;0.0;138.545;1587.0;2360;82;7;0;127;2596;0;48525
31.559;15.814;6.852;6.109;0.0;6.478;0.0;0.0;0.0;4.0;0.0;70.813;1581.0;1440;196;4;0;224;1552;0;31980
66.89;14.736;17.576;16.561;7.432;4.84;0.0;0.0;21.723;5.691;0.0;155.45;1621.0;3569;243;9;0;464;1640;1;71820
58.69;13.569;23.592;12.611;8.787;3.467;0.0;0.0;12.164;4.796;0.0;137.676;1598.0;2281;111;91;34;230;2200;0;49560
54.645;13.173;29.864;11.863;6.462;2.973;0.0;0.0;15.213;4.617;0.0;138.81;1588.0;2360;299;7;0;379;2092;0;49545
69.371;16.033;6.506;9.664;13.094;4.856;0.0;0.0;14.872;3.548;0.0;137.942;1595.0;2602;465;8;0;314;2375;0;52620
66.406;15.192;13.254;10.374;8.88;5.426;0.0;0.0;14.427;4.096;0.0;138.054;1591.0;2481;71;8;0;176;2270;0;49095
68.669;14.567;16.117;10.751;7.246;5.48;0.0;0.0;11.312;3.695;0.0;137.837;1585.0;2486;80;7;0;221;2188;0;49035
